address,bank,body,from_or_to,amount
AD-PNBSMS-S,Punjab National Bank,"PNB Alert: ₹1,2,223.72 sent via UPI from Punjab National Bank A/c XX6907 to Ravi Teja (raviteja@okhdfcbank) on 07-Jun-2025. Ref 540980392136.",Ravi Teja,12223.72
VK-BOBUPI-I,Bank of Baroda,"BOB Alert: Rs.3,4,014.33 received via UPI to Bank of Baroda A/c XX6444 from BPCL (bpcl@oksbi) on 27-Jul-2025. Ref 425969371933.",BPCL,34014.33
JD-IDFCFB,IDFC FIRST Bank,"IDFC Alert: INR2,692.40 received via UPI to IDFC FIRST Bank A/c XX9343 from Pooja Patel (poojapatel@okaxis) on 06-Jul-2025. Ref 568790515335.",Pooja Patel,2692.4
AD-PNBSMS-I,Punjab National Bank,"PNB Alert: INR2,455.92 received via UPI to Punjab National Bank A/c **4445 from Airtel Prepaid (airtelprep@ybl) on 13-06-25. Ref 473021655776.",Airtel Prepaid,2455.92
VK-BOBUPI-I,Bank of Baroda,"BOB Alert: ₹2,5,163.77 sent via UPI from Bank of Baroda A/c XX1930 to Neha Malhotra (nehamalhot@sbi) on 17/06/2025. Ref 148526519143.",Neha Malhotra,25163.77
AD-HDFCBK-S,HDFC Bank,"HDFC Alert: INR2,8,056.62 received via UPI to HDFC Bank A/c xxxx6326 from Big Bazaar (bigbazaar@kotak) on 19/06/2025. Ref 859590234182.",Big Bazaar,28056.62
VK-SBIINB-I,State Bank of India,"SBI Alert: Rs.1,777.88 sent via UPI from State Bank of India A/c **7590 to Divya R (divyar@idfcbank) on 19-Jun-2025. Ref 586273694032.",Divya R,1777.88
VK-AXISUPI,Axis Bank,"AXIS Alert: INR1,8,558.80 received via UPI to Axis Bank A/c xxxx3613 from Paytm (paytm@oksbi) on 12-06-25. Ref 886247804000.",Paytm,18558.8
VK-BOBUPI-S,Bank of Baroda,BOB Alert: INR297.46 sent via UPI from Bank of Baroda A/c xxxx9853 to Divya R (divyar@sbi) on 24/07/2025. Ref 821512148671.,Divya R,297.46
BP-YESBNK-S,YES Bank,"YES Alert: Rs.2,449.71 received via UPI to YES Bank A/c xxxx5964 from Airtel Prepaid (airtelprep@idfcbank) on 21-08-25. Ref 636737971007.",Airtel Prepaid,2449.71
VM-IDFCUPI-S,IDFC FIRST Bank,IDFC Alert: Rs.426.91 sent via UPI from IDFC FIRST Bank A/c **8429 to Suresh R (sureshr@axl) on 14-06-25. Ref 376256888844.,Suresh R,426.91
BZ-BOBMSG-S,Bank of Baroda,"BOB Alert: Rs.2,0,775.67 sent via UPI from Bank of Baroda A/c xxxx2673 to Flipkart (flipkart@idfcbank) on 19-06-25. Ref 878318475138.",Flipkart,20775.67
JD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: INR4,910.89 received via UPI to IDFC FIRST Bank A/c XX7549 from Karthik M (karthikm@axl) on 14-08-25. Ref 132524735961.",Karthik M,4910.89
AD-IDFCFB-I,IDFC FIRST Bank,IDFC Alert: INR426.04 received via UPI to IDFC FIRST Bank A/c xxxx7657 from HP Fuel (hpfuel@okaxis) on 29-Jun-2025. Ref 617913024066.,HP Fuel,426.04
VK-AXISUPI,Axis Bank,AXIS Alert: ₹187.45 sent via UPI from Axis Bank A/c XX8348 to Neha Malhotra (nehamalhot@kotak) on 17/07/2025. Ref 575811700011.,Neha Malhotra,187.45
VK-KOTAKB,Kotak Mahindra Bank,"KOTAK Alert: Rs.1,480.90 sent via UPI from Kotak Mahindra Bank A/c XX1125 to HP Fuel (hpfuel@oksbi) on 14/08/2025. Ref 774664048738.",HP Fuel,1480.9
VK-PNBUPI-S,Punjab National Bank,"PNB Alert: Rs.1,797.07 sent via UPI from Punjab National Bank A/c **1804 to Pooja Patel (poojapatel@kotak) on 14/06/2025. Ref 890893106294.",Pooja Patel,1797.07
VM-INDUSB-S,IndusInd Bank,INDUSIND Alert: ₹144.58 received via UPI to IndusInd Bank A/c **1691 from Paytm (paytm@kotak) on 23/06/2025. Ref 210555796156.,Paytm,144.58
VM-IDFCUPI-S,IDFC FIRST Bank,IDFC Alert: Rs.396.82 received via UPI to IDFC FIRST Bank A/c XX6245 from Suresh R (sureshr@okhdfcbank) on 06/06/2025. Ref 773242776415.,Suresh R,396.82
TM-SBIINB-S,State Bank of India,SBI Alert: Rs.230.39 received via UPI to State Bank of India A/c XX2330 from Airtel Prepaid (airtelprep@okhdfcbank) on 11-Jul-2025. Ref 969885500098.,Airtel Prepaid,230.39
VM-HDFCBK-I,HDFC Bank,"HDFC Alert: ₹3,9,158.47 sent via UPI from HDFC Bank A/c xxxx8183 to Ravi Teja (raviteja@ibl) on 09/07/2025. Ref 718303929812.",Ravi Teja,39158.47
BP-YESBNK-I,YES Bank,"YES Alert: INR9,171.46 sent via UPI from YES Bank A/c **7952 to Google Play Store (googleplay@kotak) on 08-07-25. Ref 709898255848.",Google Play Store,9171.46
VK-KOTAKB-S,Kotak Mahindra Bank,KOTAK Alert: ₹445.96 sent via UPI from Kotak Mahindra Bank A/c xxxx6475 to Sanjay Singh (sanjaysing@sbi) on 04-08-25. Ref 502550188140.,Sanjay Singh,445.96
VK-PNBUPI-S,Punjab National Bank,"PNB Alert: ₹4,3,692.74 sent via UPI from Punjab National Bank A/c XX6670 to Big Bazaar (bigbazaar@okaxis) on 02-Jun-2025. Ref 392664693298.",Big Bazaar,43692.74
VM-HDFCBK-S,HDFC Bank,"HDFC Alert: INR4,9,248.97 sent via UPI from HDFC Bank A/c **3302 to Ravi Teja (raviteja@okaxis) on 24/06/2025. Ref 813626178211.",Ravi Teja,49248.97
JD-IDFCFB-I,IDFC FIRST Bank,"IDFC Alert: ₹1,9,326.73 sent via UPI from IDFC FIRST Bank A/c XX9683 to Flipkart (flipkart@ibl) on 13-Aug-2025. Ref 442110812066.",Flipkart,19326.73
AD-BOBMSG-I,Bank of Baroda,"BOB Alert: ₹1,820.02 sent via UPI from Bank of Baroda A/c **5002 to Deepak Nair (deepaknair@upi) on 23-08-25. Ref 592570115252.",Deepak Nair,1820.02
AD-INDUSB,IndusInd Bank,"INDUSIND Alert: INR3,9,732.68 sent via UPI from IndusInd Bank A/c XX3705 to Tata Sky (tatasky@oksbi) on 26/07/2025. Ref 784663259595.",Tata Sky,39732.68
JD-IDFCFB,IDFC FIRST Bank,"IDFC Alert: ₹1,8,746.83 sent via UPI from IDFC FIRST Bank A/c **1240 to Manoj P (manojp@okhdfcbank) on 19-Aug-2025. Ref 103156019575.",Manoj P,18746.83
BP-KOTAKUPI-S,Kotak Mahindra Bank,"KOTAK Alert: ₹3,382.51 received via UPI to Kotak Mahindra Bank A/c XX4913 from BPCL (bpcl@oksbi) on 20-07-25. Ref 829510928223.",BPCL,3382.51
AD-AXISBK-I,Axis Bank,"AXIS Alert: ₹3,926.06 sent via UPI from Axis Bank A/c xxxx4241 to Sunita J (sunitaj@oksbi) on 24-07-25. Ref 864387355253.",Sunita J,3926.06
VK-SBIINB,State Bank of India,"SBI Alert: ₹4,921.25 sent via UPI from State Bank of India A/c xxxx7841 to IRCTC (irctc@kotak) on 03-Aug-2025. Ref 348670895091.",IRCTC,4921.25
VK-PNBUPI-S,Punjab National Bank,"PNB Alert: ₹2,300.92 received via UPI to Punjab National Bank A/c **1794 from Manoj P (manojp@okhdfcbank) on 25/07/2025. Ref 304972362288.",Manoj P,2300.92
AD-SBIUPI-S,State Bank of India,SBI Alert: ₹430.44 sent via UPI from State Bank of India A/c **7736 to Swiggy (swiggy@axl) on 26-06-25. Ref 234585303054.,Swiggy,430.44
VK-ICICIB,ICICI Bank,"ICICI Alert: ₹2,887.78 received via UPI to ICICI Bank A/c **9007 from Nisha S (nishas@oksbi) on 22-Jul-2025. Ref 335894021720.",Nisha S,2887.78
VK-AXISUPI,Axis Bank,"AXIS Alert: ₹3,1,821.38 sent via UPI from Axis Bank A/c **4186 to Big Bazaar (bigbazaar@kotak) on 27-Aug-2025. Ref 430633801018.",Big Bazaar,31821.38
VM-IDFCUPI-S,IDFC FIRST Bank,"IDFC Alert: ₹1,573.95 sent via UPI from IDFC FIRST Bank A/c XX7253 to Rajesh Kumar (rajeshkuma@oksbi) on 22-Jun-2025. Ref 055931426742.",Rajesh Kumar,1573.95
AD-ICICIB,ICICI Bank,ICICI Alert: ₹348.57 sent via UPI from ICICI Bank A/c **6311 to Flipkart (flipkart@oksbi) on 15-06-25. Ref 403744507508.,Flipkart,348.57
VK-AXISUPI-I,Axis Bank,"AXIS Alert: ₹4,9,491.77 received via UPI to Axis Bank A/c xxxx5964 from Manoj P (manojp@okhdfcbank) on 07-Jul-2025. Ref 085761914131.",Manoj P,49491.77
AD-INDUSB-S,IndusInd Bank,"INDUSIND Alert: ₹3,542.21 sent via UPI from IndusInd Bank A/c xxxx6159 to DMart (dmart@okhdfcbank) on 18-Jun-2025. Ref 616237020296.",DMart,3542.21
VK-YESUPI-S,YES Bank,"YES Alert: INR4,9,955.93 received via UPI to YES Bank A/c xxxx6200 from Neha Malhotra (nehamalhot@ybl) on 19/08/2025. Ref 424100645787.",Neha Malhotra,49955.93
VK-INDUSUPI,IndusInd Bank,INDUSIND Alert: INR497.12 received via UPI to IndusInd Bank A/c XX8771 from IRCTC (irctc@axl) on 25-06-25. Ref 300342137072.,IRCTC,497.12
VK-INDUSUPI-S,IndusInd Bank,"INDUSIND Alert: ₹4,487.93 received via UPI to IndusInd Bank A/c **7907 from Arun K (arunk@idfcbank) on 20/07/2025. Ref 615517759975.",Arun K,4487.93
AD-BOBMSG-S,Bank of Baroda,"BOB Alert: Rs.4,7,917.24 sent via UPI from Bank of Baroda A/c **8685 to Amazon (amazon@idfcbank) on 05/07/2025. Ref 505977909051.",Amazon,47917.24
VK-ICICIB-S,ICICI Bank,"ICICI Alert: Rs.2,712.46 sent via UPI from ICICI Bank A/c **6491 to Arun K (arunk@sbi) on 23-Jun-2025. Ref 070193070833.",Arun K,2712.46
BP-YESBNK-I,YES Bank,YES Alert: Rs.276.07 received via UPI to YES Bank A/c **7426 from BPCL (bpcl@kotak) on 04-Jul-2025. Ref 478866065263.,BPCL,276.07
VK-AXISUPI-S,Axis Bank,AXIS Alert: ₹101.15 received via UPI to Axis Bank A/c xxxx2803 from Divya R (divyar@ybl) on 05-Aug-2025. Ref 169646715858.,Divya R,101.15
VK-KOTAKB-S,Kotak Mahindra Bank,"KOTAK Alert: ₹3,003.27 sent via UPI from Kotak Mahindra Bank A/c XX3477 to IRCTC (irctc@axl) on 24-Jul-2025. Ref 887137378159.",IRCTC,3003.27
TM-SBIINB,State Bank of India,SBI Alert: Rs.342.61 received via UPI to State Bank of India A/c xxxx2462 from Arun K (arunk@okhdfcbank) on 21/07/2025. Ref 751342565426.,Arun K,342.61
BZ-HDFCBK-I,HDFC Bank,HDFC Alert: INR361.96 received via UPI to HDFC Bank A/c XX3093 from Airtel Prepaid (airtelprep@ibl) on 09/08/2025. Ref 028742611291.,Airtel Prepaid,361.96
VK-ICICIB-I,ICICI Bank,"ICICI Alert: ₹1,600.66 received via UPI to ICICI Bank A/c **2606 from Arun K (arunk@oksbi) on 25-Jun-2025. Ref 056246116907.",Arun K,1600.66
BP-YESBNK-I,YES Bank,YES Alert: INR388.33 sent via UPI from YES Bank A/c XX4662 to Amazon (amazon@okaxis) on 28-07-25. Ref 761184572864.,Amazon,388.33
VK-YESUPI,YES Bank,"YES Alert: Rs.4,4,177.61 sent via UPI from YES Bank A/c **5237 to Divya R (divyar@upi) on 27/07/2025. Ref 111567798761.",Divya R,44177.61
MD-PNBSMS-I,Punjab National Bank,"PNB Alert: INR1,8,075.65 sent via UPI from Punjab National Bank A/c XX1279 to PhonePe (phonepe@kotak) on 27-Jun-2025. Ref 533327574535.",PhonePe,18075.65
VK-PNBUPI-I,Punjab National Bank,PNB Alert: ₹398.44 sent via UPI from Punjab National Bank A/c **4500 to Nisha S (nishas@sbi) on 26/07/2025. Ref 703191376192.,Nisha S,398.44
JD-IDFCFB,IDFC FIRST Bank,IDFC Alert: INR406.54 received via UPI to IDFC FIRST Bank A/c XX7401 from Big Bazaar (bigbazaar@okaxis) on 02-07-25. Ref 146781935339.,Big Bazaar,406.54
VM-ICICIB-S,ICICI Bank,"ICICI Alert: ₹4,5,415.65 received via UPI to ICICI Bank A/c XX9364 from Sunita J (sunitaj@okaxis) on 02/07/2025. Ref 500955621102.",Sunita J,45415.65
VK-INDUSUPI-I,IndusInd Bank,INDUSIND Alert: ₹396.78 sent via UPI from IndusInd Bank A/c XX4578 to Airtel Prepaid (airtelprep@okaxis) on 04-06-25. Ref 656917220404.,Airtel Prepaid,396.78
TM-SBIINB-I,State Bank of India,"SBI Alert: INR4,623.97 received via UPI to State Bank of India A/c xxxx4772 from Neha Malhotra (nehamalhot@okaxis) on 28/06/2025. Ref 869914968245.",Neha Malhotra,4623.97
AX-AXISBK-I,Axis Bank,"AXIS Alert: ₹4,255.78 received via UPI to Axis Bank A/c **5579 from VI Prepaid (viprepaid@ybl) on 23/08/2025. Ref 956438706618.",VI Prepaid,4255.78
VK-ICICIB-I,ICICI Bank,"ICICI Alert: ₹3,598.23 sent via UPI from ICICI Bank A/c **2821 to Amit Sharma (amitsharma@ybl) on 20/08/2025. Ref 596597638077.",Amit Sharma,3598.23
VM-HDFCBK-S,HDFC Bank,HDFC Alert: ₹242.71 received via UPI to HDFC Bank A/c XX5502 from Tata Sky (tatasky@okaxis) on 07/07/2025. Ref 561912864449.,Tata Sky,242.71
AD-IDFCFB-I,IDFC FIRST Bank,IDFC Alert: Rs.311.81 sent via UPI from IDFC FIRST Bank A/c xxxx2883 to Divya R (divyar@ibl) on 08/07/2025. Ref 318454728568.,Divya R,311.81
VK-KOTAKB,Kotak Mahindra Bank,"KOTAK Alert: INR1,038.77 received via UPI to Kotak Mahindra Bank A/c **6622 from Swiggy (swiggy@ybl) on 14/07/2025. Ref 253719207693.",Swiggy,1038.77
BP-YESBNK-S,YES Bank,YES Alert: ₹198.51 received via UPI to YES Bank A/c XX7606 from Amit Sharma (amitsharma@upi) on 30-Jul-2025. Ref 392559009867.,Amit Sharma,198.51
AD-PNBSMS,Punjab National Bank,"PNB Alert: ₹3,2,710.57 received via UPI to Punjab National Bank A/c xxxx3110 from Paytm (paytm@upi) on 13-Jun-2025. Ref 640513036859.",Paytm,32710.57
VK-INDUSUPI,IndusInd Bank,INDUSIND Alert: INR301.09 received via UPI to IndusInd Bank A/c **3961 from Suresh R (sureshr@idfcbank) on 22-06-25. Ref 067160326470.,Suresh R,301.09
VK-SBIINB,State Bank of India,"SBI Alert: INR4,4,311.49 sent via UPI from State Bank of India A/c **5456 to Croma (croma@ibl) on 20-07-25. Ref 491161031930.",Croma,44311.49
VK-KOTAKB,Kotak Mahindra Bank,"KOTAK Alert: Rs.2,228.33 received via UPI to Kotak Mahindra Bank A/c XX2877 from Amit Sharma (amitsharma@ybl) on 28-07-25. Ref 094027398410.",Amit Sharma,2228.33
VM-ICICIB-S,ICICI Bank,ICICI Alert: ₹126.77 received via UPI to ICICI Bank A/c XX8936 from VI Prepaid (viprepaid@oksbi) on 25-Jun-2025. Ref 409702194103.,VI Prepaid,126.77
VK-ICICIB-S,ICICI Bank,"ICICI Alert: INR3,629.21 received via UPI to ICICI Bank A/c XX8914 from Amit Sharma (amitsharma@idfcbank) on 11-Jul-2025. Ref 105435241308.",Amit Sharma,3629.21
VK-AXISUPI-I,Axis Bank,"AXIS Alert: Rs.3,729.59 sent via UPI from Axis Bank A/c **7192 to DMart (dmart@ibl) on 01-Jun-2025. Ref 058802403326.",DMart,3729.59
AD-HDFCBK-S,HDFC Bank,"HDFC Alert: Rs.4,9,193.17 received via UPI to HDFC Bank A/c **5818 from Ravi Teja (raviteja@okaxis) on 15-08-25. Ref 274099598020.",Ravi Teja,49193.17
VM-HDFCBK,HDFC Bank,"HDFC Alert: ₹7,312.33 sent via UPI from HDFC Bank A/c xxxx2835 to DMart (dmart@axl) on 26-06-25. Ref 129806764138.",DMart,7312.33
VK-YESUPI-I,YES Bank,"YES Alert: INR8,519.58 received via UPI to YES Bank A/c xxxx6029 from Lavanya K (lavanyak@okhdfcbank) on 12-07-25. Ref 300339049802.",Lavanya K,8519.58
BZ-HDFCBK-S,HDFC Bank,"HDFC Alert: ₹4,787.50 received via UPI to HDFC Bank A/c XX4190 from Swiggy (swiggy@oksbi) on 23/08/2025. Ref 386134450206.",Swiggy,4787.5
AD-KOTAKB-S,Kotak Mahindra Bank,KOTAK Alert: ₹176.91 received via UPI to Kotak Mahindra Bank A/c xxxx1778 from Anil Gupta (anilgupta@axl) on 28-Jul-2025. Ref 633127072188.,Anil Gupta,176.91
AD-INDUSB-S,IndusInd Bank,INDUSIND Alert: Rs.258.74 sent via UPI from IndusInd Bank A/c **8016 to Paytm (paytm@okaxis) on 06-Jun-2025. Ref 058425157831.,Paytm,258.74
AD-PNBSMS,Punjab National Bank,"PNB Alert: ₹2,088.35 received via UPI to Punjab National Bank A/c **1764 from Ravi Teja (raviteja@sbi) on 07-Jun-2025. Ref 933340885622.",Ravi Teja,2088.35
VK-BOBUPI-S,Bank of Baroda,"BOB Alert: Rs.4,183.42 sent via UPI from Bank of Baroda A/c **8326 to Myntra (myntra@okaxis) on 19-Jun-2025. Ref 011950183105.",Myntra,4183.42
BZ-HDFCBK-I,HDFC Bank,"HDFC Alert: Rs.4,3,307.96 received via UPI to HDFC Bank A/c **1346 from Arun K (arunk@ibl) on 29/07/2025. Ref 313795132451.",Arun K,43307.96
VK-ICICIB,ICICI Bank,"ICICI Alert: INR2,678.90 received via UPI to ICICI Bank A/c XX4594 from JioMart (jiomart@sbi) on 22/07/2025. Ref 600329656673.",JioMart,2678.9
MD-PNBSMS-I,Punjab National Bank,PNB Alert: Rs.476.78 sent via UPI from Punjab National Bank A/c XX1957 to Manoj P (manojp@sbi) on 04-06-25. Ref 824413773866.,Manoj P,476.78
BP-YESBNK,YES Bank,"YES Alert: Rs.9,216.29 sent via UPI from YES Bank A/c **2320 to Amazon (amazon@ibl) on 05-Jun-2025. Ref 223589900893.",Amazon,9216.29
MD-PNBSMS-S,Punjab National Bank,"PNB Alert: INR1,0,295.38 received via UPI to Punjab National Bank A/c **1237 from Kiran Rao (kiranrao@oksbi) on 13/06/2025. Ref 250246348255.",Kiran Rao,10295.38
VK-PNBUPI-I,Punjab National Bank,"PNB Alert: Rs.3,789.69 received via UPI to Punjab National Bank A/c **1274 from Airtel Prepaid (airtelprep@idfcbank) on 01/06/2025. Ref 127583216056.",Airtel Prepaid,3789.69
AD-PNBSMS-S,Punjab National Bank,"PNB Alert: Rs.2,2,742.92 sent via UPI from Punjab National Bank A/c **9702 to Pooja Patel (poojapatel@kotak) on 01-Jun-2025. Ref 477512887671.",Pooja Patel,22742.92
AX-AXISBK,Axis Bank,"AXIS Alert: ₹3,637.52 received via UPI to Axis Bank A/c **2262 from Ola (ola@sbi) on 02-08-25. Ref 140724014589.",Ola,3637.52
AD-HDFCBK,HDFC Bank,"HDFC Alert: ₹2,3,483.08 received via UPI to HDFC Bank A/c **8189 from Rajesh Kumar (rajeshkuma@idfcbank) on 09-07-25. Ref 157254546524.",Rajesh Kumar,23483.08
AD-YESBNK-S,YES Bank,"YES Alert: Rs.4,113.38 received via UPI to YES Bank A/c XX1719 from Big Bazaar (bigbazaar@upi) on 22/06/2025. Ref 207507592426.",Big Bazaar,4113.38
AD-INDUSB-S,IndusInd Bank,INDUSIND Alert: ₹227.35 sent via UPI from IndusInd Bank A/c xxxx2974 to Divya R (divyar@kotak) on 27-06-25. Ref 834091563655.,Divya R,227.35
VK-ICICIB-S,ICICI Bank,"ICICI Alert: ₹2,249.49 sent via UPI from ICICI Bank A/c xxxx4717 to Big Bazaar (bigbazaar@axl) on 08/08/2025. Ref 864073692826.",Big Bazaar,2249.49
BP-KOTAKUPI-S,Kotak Mahindra Bank,"KOTAK Alert: ₹8,785.34 received via UPI to Kotak Mahindra Bank A/c xxxx1740 from Arun K (arunk@ybl) on 27-07-25. Ref 446698254657.",Arun K,8785.34
VK-PNBUPI-S,Punjab National Bank,"PNB Alert: Rs.3,995.90 received via UPI to Punjab National Bank A/c XX1963 from IRCTC (irctc@ybl) on 04-06-25. Ref 725673603354.",IRCTC,3995.9
VM-ICICIB-S,ICICI Bank,ICICI Alert: Rs.195.81 sent via UPI from ICICI Bank A/c XX8204 to Anil Gupta (anilgupta@ybl) on 19-06-25. Ref 678932895687.,Anil Gupta,195.81
VK-SBIINB-I,State Bank of India,"SBI Alert: ₹4,7,437.48 sent via UPI from State Bank of India A/c xxxx4784 to Zomato (zomato@upi) on 09-08-25. Ref 767247414586.",Zomato,47437.48
BP-KOTAKUPI-S,Kotak Mahindra Bank,"KOTAK Alert: Rs.3,282.17 sent via UPI from Kotak Mahindra Bank A/c **9635 to Meena S (meenas@upi) on 09-07-25. Ref 259074380882.",Meena S,3282.17
BZ-BOBMSG-S,Bank of Baroda,"BOB Alert: ₹3,095.95 received via UPI to Bank of Baroda A/c **9094 from Myntra (myntra@oksbi) on 23-08-25. Ref 100435991002.",Myntra,3095.95
VM-INDUSB,IndusInd Bank,"INDUSIND Alert: ₹3,715.24 received via UPI to IndusInd Bank A/c **5315 from Deepak Nair (deepaknair@axl) on 14/08/2025. Ref 808244412664.",Deepak Nair,3715.24
AX-AXISBK,Axis Bank,"AXIS Alert: INR8,441.08 sent via UPI from Axis Bank A/c **3959 to Tata Sky (tatasky@upi) on 10-08-25. Ref 813677768968.",Tata Sky,8441.08
AD-ICICIB-I,ICICI Bank,"ICICI Alert: Rs.2,399.65 sent via UPI from ICICI Bank A/c **7686 to Nisha S (nishas@oksbi) on 08/08/2025. Ref 998008195716.",Nisha S,2399.65
VK-KOTAKB-I,Kotak Mahindra Bank,KOTAK Alert: INR165.24 received via UPI to Kotak Mahindra Bank A/c XX4945 from Swiggy (swiggy@upi) on 14-06-25. Ref 239802797464.,Swiggy,165.24
AD-SBIUPI-S,State Bank of India,"SBI Alert: INR1,0,704.62 received via UPI to State Bank of India A/c xxxx8422 from Rajesh Kumar (rajeshkuma@okaxis) on 13-Aug-2025. Ref 855292079365.",Rajesh Kumar,10704.62
AD-AXISBK-S,Axis Bank,"AXIS Alert: ₹3,154.94 sent via UPI from Axis Bank A/c **5052 to Zomato (zomato@okaxis) on 30-07-25. Ref 918679682927.",Zomato,3154.94
AD-KOTAKB-I,Kotak Mahindra Bank,KOTAK Alert: Rs.192.13 sent via UPI from Kotak Mahindra Bank A/c xxxx5389 to Kiran Rao (kiranrao@sbi) on 25-07-25. Ref 066191810138.,Kiran Rao,192.13
VK-AXISUPI-I,Axis Bank,"AXIS Alert: Rs.1,2,861.85 received via UPI to Axis Bank A/c **2113 from Uber (uber@upi) on 24/06/2025. Ref 177669657918.",Uber,12861.85
AD-KOTAKB,Kotak Mahindra Bank,"KOTAK Alert: ₹3,1,910.71 sent via UPI from Kotak Mahindra Bank A/c xxxx5951 to Arun K (arunk@okaxis) on 10/07/2025. Ref 434681109245.",Arun K,31910.71
VM-ICICIB-I,ICICI Bank,"ICICI Alert: INR5,856.48 received via UPI to ICICI Bank A/c xxxx1124 from Ola (ola@kotak) on 29-07-25. Ref 130160336112.",Ola,5856.48
AD-ICICIB,ICICI Bank,ICICI Alert: Rs.177.85 sent via UPI from ICICI Bank A/c **6448 to Sanjay Singh (sanjaysing@oksbi) on 13/08/2025. Ref 065990835927.,Sanjay Singh,177.85
BP-YESBNK-I,YES Bank,"YES Alert: INR4,669.27 sent via UPI from YES Bank A/c XX9276 to Myntra (myntra@ibl) on 06-Jul-2025. Ref 241469553173.",Myntra,4669.27
VK-AXISUPI-I,Axis Bank,AXIS Alert: Rs.369.84 sent via UPI from Axis Bank A/c XX8063 to Deepak Nair (deepaknair@axl) on 21-Jun-2025. Ref 865419053373.,Deepak Nair,369.84
VM-ICICIB-I,ICICI Bank,"ICICI Alert: ₹8,661.14 received via UPI to ICICI Bank A/c XX1262 from Uber (uber@ybl) on 03/07/2025. Ref 689124384487.",Uber,8661.14
AD-AXISBK-I,Axis Bank,"AXIS Alert: INR2,1,906.54 sent via UPI from Axis Bank A/c **8155 to Amit Sharma (amitsharma@kotak) on 19-Jul-2025. Ref 234247727353.",Amit Sharma,21906.54
VK-PNBUPI-I,Punjab National Bank,"PNB Alert: INR3,4,285.75 sent via UPI from Punjab National Bank A/c xxxx6432 to Google Play Store (googleplay@sbi) on 29/06/2025. Ref 973322204463.",Google Play Store,34285.75
AD-AXISBK-S,Axis Bank,AXIS Alert: ₹494.71 received via UPI to Axis Bank A/c xxxx4586 from Divya R (divyar@okaxis) on 24-08-25. Ref 421363872929.,Divya R,494.71
VK-ICICIB-S,ICICI Bank,ICICI Alert: ₹232.39 sent via UPI from ICICI Bank A/c XX3081 to Uber (uber@ibl) on 01-08-25. Ref 359490345580.,Uber,232.39
VM-ICICIB-I,ICICI Bank,ICICI Alert: INR477.60 sent via UPI from ICICI Bank A/c XX7510 to Rajesh Kumar (rajeshkuma@sbi) on 09-Jul-2025. Ref 136873327690.,Rajesh Kumar,477.6
VK-PNBUPI,Punjab National Bank,"PNB Alert: INR1,4,566.60 sent via UPI from Punjab National Bank A/c **9694 to Croma (croma@sbi) on 17-06-25. Ref 013910455900.",Croma,14566.6
AD-SBIUPI,State Bank of India,"SBI Alert: Rs.6,532.65 sent via UPI from State Bank of India A/c XX8294 to Kiran Rao (kiranrao@ibl) on 17-Jul-2025. Ref 393759554230.",Kiran Rao,6532.65
VK-KOTAKB,Kotak Mahindra Bank,KOTAK Alert: Rs.321.96 received via UPI to Kotak Mahindra Bank A/c **9321 from Croma (croma@oksbi) on 24-07-25. Ref 008303566643.,Croma,321.96
AD-IDFCFB,IDFC FIRST Bank,"IDFC Alert: ₹4,536.39 received via UPI to IDFC FIRST Bank A/c **4523 from Manoj P (manojp@ybl) on 03/06/2025. Ref 233833242479.",Manoj P,4536.39
VK-AXISUPI-S,Axis Bank,"AXIS Alert: Rs.4,682.75 sent via UPI from Axis Bank A/c xxxx2630 to Paytm (paytm@okaxis) on 10-Jul-2025. Ref 113399225774.",Paytm,4682.75
AX-AXISBK,Axis Bank,"AXIS Alert: INR3,6,006.22 sent via UPI from Axis Bank A/c **3187 to Anil Gupta (anilgupta@ybl) on 16-Jun-2025. Ref 575471345797.",Anil Gupta,36006.22
VM-HDFCBK,HDFC Bank,HDFC Alert: ₹62.55 received via UPI to HDFC Bank A/c xxxx2096 from BPCL (bpcl@upi) on 15-08-25. Ref 495308383594.,BPCL,62.55
VK-KOTAKB-I,Kotak Mahindra Bank,KOTAK Alert: ₹160.49 sent via UPI from Kotak Mahindra Bank A/c xxxx3215 to Vikas T (vikast@ybl) on 11-Jul-2025. Ref 187403424791.,Vikas T,160.49
TM-SBIINB,State Bank of India,"SBI Alert: Rs.1,803.97 sent via UPI from State Bank of India A/c **8491 to IRCTC (irctc@ybl) on 02/06/2025. Ref 426487566719.",IRCTC,1803.97
AD-ICICIB-S,ICICI Bank,"ICICI Alert: ₹4,3,361.12 received via UPI to ICICI Bank A/c xxxx4077 from Deepak Nair (deepaknair@sbi) on 04-08-25. Ref 131293500333.",Deepak Nair,43361.12
AD-PNBSMS,Punjab National Bank,"PNB Alert: INR6,814.23 sent via UPI from Punjab National Bank A/c xxxx3840 to DMart (dmart@sbi) on 28-07-25. Ref 829198051785.",DMart,6814.23
AD-YESBNK-I,YES Bank,YES Alert: Rs.490.45 received via UPI to YES Bank A/c XX1684 from Pooja Patel (poojapatel@kotak) on 05-Jul-2025. Ref 066952794342.,Pooja Patel,490.45
VK-BOBUPI-I,Bank of Baroda,"BOB Alert: INR3,0,281.35 received via UPI to Bank of Baroda A/c xxxx4590 from Flipkart (flipkart@ibl) on 18-08-25. Ref 571028202131.",Flipkart,30281.35
